Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Angular Only Old;Crossing Only Old;Mixed;Angular Only;Crossing Only
63;1393.36290322581;2071.37096774194;1910.41935483871;1950.66935483871;1714.45528455285;2506.14516129032;1388.59836065574;1684.95041322314;2470.2479338843
64;1252.50413223141;2224.45;1826.72727272727;2166.325;1785.76033057851;2395.52892561983;1252.50413223141;1785.76033057851;2395.52892561983
65;1450.27272727273;2173.25688073394;1879.24545454545;1923.97272727273;1911.04545454545;2636.16363636364;1436.16822429907;1933.81308411215;2713.44339622641
66;1499.26530612245;2010.80612244898;1918.0306122449;1933.4693877551;1871.76530612245;2824.27551020408;1490.49484536082;1888.25773195876;2853.39175257732
67;1719.19801980198;2501.85148514851;2002.88118811881;1856.70297029703;1722.37623762376;2822.49504950495;1688.05154639175;1730.22680412371;2800.62886597938
68;1422.41758241758;2435.46153846154;1981.35164835165;2023.2967032967;1754.94444444444;2544.16483516483;1416.98888888889;1754.86516853933;2577.56179775281
69;1464.46428571429;2137.77380952381;1866.08333333333;1826.11904761905;1750.70238095238;2531.69047619048;1448.3875;1790.2625;2571.39240506329
70;1670.04938271605;2046.2;2002.56790123457;1745.92592592593;1796.49382716049;2576.96296296296;1684.6375;1777.0125;2676.07692307692
71;1693.95604395604;2304.74725274725;1954;1928.81111111111;1867.97802197802;2452.68131868132;1658.39325842697;1880.01123595506;2457.72413793103
72;1647.82417582418;2142.26666666667;1778.34782608696;1974.41304347826;1680.77777777778;2123.21739130435;1667.7191011236;1685.10227272727;2245.24137931034
73;1138.80952380952;2261.52380952381;1824.23529411765;2111.64705882353;1823.41666666667;2679.92941176471;1138.80952380952;1823.41666666667;2711.83333333333
74;1564.67924528302;2089.30476190476;2067.60377358491;1932.77142857143;1939.0380952381;2553.09433962264;1564.67924528302;1939.0380952381;2577.40952380952
75;1530.25925925926;2128.89814814815;1905.16666666667;1937.49074074074;1895.98148148148;2555.28703703704;1536.14018691589;1889.14018691589;2579.16822429907
76;1362.55855855856;2104.22522522523;2003.09821428571;1898.15315315315;1889.8018018018;2612.21428571429;1362.55855855856;1889.8018018018;2659.70909090909
77;1592.33333333333;2257.05;1935.55833333333;1691.52542372881;2057.08333333333;2439.03333333333;1589.36134453782;2067.99159663866;2471.27586206897
78;1456.03333333333;2118.20833333333;1744.675;1909.03418803419;1817.575;2409.76666666667;1456.03333333333;1817.575;2430.01680672269
79;1494.18279569893;2344.74193548387;1600.35483870968;1984.40217391304;1910.90322580645;2010.31182795699;1494.18279569893;1910.90322580645;2077.32222222222
80;1701.82352941176;2261.28431372549;1982.77450980392;1861.20792079208;1976.76237623762;2520.86274509804;1701.82352941176;1976.76237623762;2520.86274509804
81;1694.21348314607;2289.95555555556;1844.91208791209;1937.14285714286;1938.24444444444;2474.30769230769;1694.21348314607;1938.24444444444;2588.06896551724
82;1755.03448275862;1862.96511627907;1940.38636363636;1823.85057471264;1818.93103448276;2054.22727272727;1755.03448275862;1818.93103448276;2102
83;1468.40697674419;2037.05813953488;1902.91860465116;1862.45348837209;1863.59302325581;2181.31395348837;1468.40697674419;1863.59302325581;2181.31395348837
84;1655.30769230769;2050.83333333333;1705.76923076923;1954.57692307692;1662.03846153846;1972.80769230769;1655.30769230769;1662.03846153846;2051.72
85;1623.06849315069;2348.3698630137;1648.15068493151;1893.67123287671;1777.04109589041;2376.86301369863;1623.06849315069;1777.04109589041;2409.875
86;1646.65714285714;2093.95652173913;1772.45714285714;1945.30434782609;1893.98571428571;2630.75714285714;1646.65714285714;1893.98571428571;2630.75714285714
87;1493.98529411765;1997.5223880597;1671.60294117647;1730.16176470588;1746.80882352941;2102.20588235294;1493.98529411765;1746.80882352941;2233.59375
88;1570.8115942029;1973.82608695652;1635.08695652174;1772.20289855072;1782.31884057971;2549.27536231884;1570.8115942029;1782.31884057971;2586.76470588235
89;1608.87301587302;2131.85714285714;1416.1746031746;1781.22222222222;1976.25396825397;1861.77777777778;1630.61290322581;1999.66129032258;1922.81967213115
90;1435.87931034483;1905.8275862069;1787.71186440678;1786.08620689655;1576.93103448276;2414.22033898305;1435.87931034483;1576.93103448276;2543.55357142857
91;1669.8347826087;2265.88695652174;1683.30172413793;1925.98245614035;1836.47826086957;2494.90517241379;1669.8347826087;1836.47826086957;2516.6
92;1853.44537815126;2182.05882352941;1732.87394957983;1738.14285714286;1814.64705882353;2453.52941176471;1853.44537815126;1814.64705882353;2538.86956521739
93;1926.03731343284;2213.29850746269;1794.35074626866;1706.35074626866;1885.14925373134;2441.21641791045;1926.03731343284;1885.14925373134;2497.12213740458
94;1639.58278145695;2304.80921052632;1665.1038961039;1873.9477124183;1600.81578947368;1967.99350649351;1639.58278145695;1600.81578947368;2034.03355704698
95;1790.99275362319;1900.07971014493;1649.31654676259;1851.97080291971;1642.84057971015;2335.84892086331;1790.99275362319;1642.84057971015;2387.375
96;1683.28378378378;2140.32191780822;1697.24324324324;1804.1768707483;1831.72297297297;2371.7027027027;1683.28378378378;1831.72297297297;2437.58333333333
97;1640.75362318841;1906.98550724638;1552.58992805755;1658.53237410072;1773.17391304348;1928.74100719424;1640.75362318841;1773.17391304348;1971.28676470588
98;1588.58041958042;2173.72027972028;1675.57342657343;1618.97202797203;1715.46153846154;2065.9020979021;1588.58041958042;1715.46153846154;2140.75362318841
99;1715.92361111111;1914.96527777778;1854.51388888889;1753.70833333333;1527.63194444444;2080.20138888889;1715.92361111111;1527.63194444444;2139.63571428571
100;1676.38571428571;2137.85;1598.75886524823;1498.73571428571;1720.71428571429;2060.90780141844;1676.38571428571;1720.71428571429;2105.71014492754
