n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm-1;angular resolution fa;angular resolution rm;angular resolution tr;angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm-1;Time fa;Time rm;Time tr;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;empty;empty2
21;69.8437913043478;87.3351304347826;69.8437913043478;79.4849;23.1064739130435;16.4895304347826;23.1064739130435;17.907247826087;1.85190811193662;13.161030453358;1.85190811193662;1.93162414832374;7.47826086956522;5.26086956521739;7.47826086956522;6.47826086956522;458.173913043478;120.652173913043;458.173913043478;105.782608695652;752.173913043478;808.695652173913;2704.34782608696;;
22;67.8967;86.3249647058823;67.8967;80.0588823529412;22.5413705882353;18.6609235294118;22.5413705882353;17.5675764705882;1.82998391698147;17.4597784651666;1.82998391698147;1.9144981129946;7.29411764705882;6.41176470588235;7.29411764705882;6.41176470588235;343.176470588235;174.352941176471;343.176470588235;105.294117647059;1123.52941176471;752.941176470588;2052.94117647059;;
23;69.4837285714286;87.7493428571429;69.4837285714286;79.3290142857143;20.8239785714286;15.3263071428571;20.8239785714286;17.4124785714286;1.81394706785077;22.5523580801473;1.81394706785077;2.0574094275361;7.28571428571429;6.14285714285714;7.28571428571429;7.21428571428571;644;198.285714285714;644;121.857142857143;1142.85714285714;850;3671.42857142857;;
24;64.1327666666667;87.8797888888889;64.1327666666667;82.1788666666667;19.8313;12.2709666666667;19.8313;15.5818;1.8564621183698;17.5550655478704;1.8564621183698;1.95157505322097;8.66666666666667;6.33333333333333;8.66666666666667;7.11111111111111;314.111111111111;183.666666666667;314.111111111111;183.333333333333;1011.11111111111;1333.33333333333;1411.11111111111;;
25;65.8426818181818;86.5165636363636;65.8426818181818;85.0930545454545;18.5615818181818;12.3789090909091;18.5615818181818;12.6291090909091;1.86433122878352;26.6037258533811;1.86433122878352;2.23572909318948;9.45454545454546;9.09090909090909;9.45454545454546;6.09090909090909;225.636363636364;201.363636363636;225.636363636364;181.545454545455;1009.09090909091;1290.90909090909;1136.36363636364;;
26;65.8948444444444;85.8128555555556;65.8948444444444;82.1338611111111;22.4860944444444;16.0041611111111;22.4860944444444;18.5154722222222;1.90226905649744;27.937216658219;1.90226905649744;2.04057219255292;8.44444444444444;7.16666666666667;8.44444444444444;6.27777777777778;209.277777777778;178.666666666667;209.277777777778;161;905.555555555556;1083.33333333333;905.555555555556;;
27;74.2241529411765;89.2268411764706;74.2241529411765;85.0484882352941;26.2601764705882;17.1068058823529;26.2601764705882;20.3865823529412;1.76104478890328;22.1535979064013;1.76104478890328;1.97143783273473;6.64705882352941;3.82352941176471;6.64705882352941;4.82352941176471;324.647058823529;164.117647058824;324.647058823529;171.176470588235;894.117647058824;1129.41176470588;1270.58823529412;;
28;70.2046;86.32808;70.2046;81.8378333333333;20.71338;19.30162;20.71338;18.8566866666667;1.81847685317392;36.4701207058593;1.81847685317392;1.99624832321843;7.6;7;7.6;6.53333333333333;224.933333333333;218.333333333333;224.933333333333;183.666666666667;1133.33333333333;1153.33333333333;840;;
29;70.6001714285714;87.8371428571429;70.6001714285714;84.0099285714286;23.788380952381;17.4066523809524;23.788380952381;18.8096;1.8778547047671;17.0542246516916;1.8778547047671;1.98522366501966;8.0952380952381;6.71428571428571;8.0952380952381;6.80952380952381;704.857142857143;205.809523809524;704.857142857143;162.428571428571;1076.19047619048;990.476190476191;2623.80952380952;;
30;70.8851210526316;87.2595263157895;70.8851210526316;77.8091578947368;20.438;16.5325421052632;20.438;18.2821263157895;1.93932414630983;19.8602048156712;1.93932414630983;2.04674251086759;8.31578947368421;6.47368421052632;8.31578947368421;7.10526315789474;184.210526315789;194.736842105263;184.210526315789;175.157894736842;921.052631578947;1010.52631578947;626.315789473684;;
