n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm-1;angular resolution fa;angular resolution rm;angular resolution tr;angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm-1;Time fa;Time rm;Time tr;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;empty;empty2
71;46.8655640449438;66.3944123595505;46.8655640449438;57.1527730337079;11.8367247191011;7.68610449438202;11.8367247191011;8.94591797752809;2.42022399115526;46.327951931837;2.42022399115526;2.90572713732044;45.7191011235955;58.1460674157303;45.7191011235955;41.4044943820225;1000.22471910112;706.168539325843;1000.22471910112;483.640449438202;1315.73033707865;1035.95505617978;844.943820224719;;
72;47.3106322222222;66.6173922222222;47.3106322222222;55.8858888888889;10.7096177777778;7.28710777777777;10.7096177777778;8.37667444444444;2.42751803165006;54.5617331087984;2.42751803165006;2.84613323906296;44.7333333333333;60.5444444444444;44.7333333333333;40.6333333333333;688.788888888889;826.122222222222;688.788888888889;447.111111111111;1523.33333333333;993.333333333333;573.333333333333;;
73;49.3186423529412;67.25142;49.3186423529412;58.8453752941176;12.9752282352941;7.56176352941176;12.9752282352941;9.08432588235294;2.33480331641333;69.2283706303959;2.33480331641333;2.92770969468316;39.4941176470588;51.4117647058824;39.4941176470588;34.9294117647059;1036.47058823529;647.317647058824;1036.47058823529;413.894117647059;1222.35294117647;964.705882352941;825.882352941176;;
74;45.8964301886793;66.4670113207547;45.8964301886793;57.5102896226415;10.7063518867925;7.02420188679245;10.7063518867925;8.51394528301887;2.38591086099481;63.8462148538905;2.38591086099481;2.88839298359916;45.2547169811321;55.1320754716981;45.2547169811321;41.0188679245283;724.547169811321;730.981132075472;724.547169811321;488.084905660377;1336.79245283019;1100.94339622642;559.433962264151;;
75;43.8294915887851;64.8235887850468;43.8294915887851;56.6119588785047;10.5744887850467;6.4380261682243;10.5744887850467;7.50647196261682;2.40795561690763;59.2065333110261;2.40795561690763;2.99363461601789;51.4392523364486;66.0747663551402;51.4392523364486;46.5607476635514;621.672897196262;821.03738317757;621.672897196262;544.327102803738;1475.70093457944;1155.14018691589;456.07476635514;;
76;42.9078223214286;59.6596178571429;42.9078223214286;53.2977580357143;10.6509696428571;6.50633571428571;10.6509696428571;8.67377410714286;2.47666002057298;56.0500747587226;2.47666002057298;3.07147961899264;55.4910714285714;74.5;55.4910714285714;49.3660714285714;685.071428571429;676.5;685.071428571429;535.848214285714;1174.10714285714;1073.21428571429;503.571428571429;G;
77;44.4814285714285;64.9755613445378;44.4814285714285;55.1489722689075;11.0684420168067;6.86177226890756;11.0684420168067;8.6697781512605;2.43896543031906;62.1807369536765;2.43896543031906;2.9861505724685;50.6302521008403;62.1008403361345;50.6302521008403;44.7142857142857;789.050420168067;754.798319327731;789.050420168067;486.310924369748;1271.42857142857;973.949579831933;567.226890756303;;
78;44.3585933333333;63.58923;44.3585933333333;53.4320491666667;10.5467441666667;6.77775833333333;10.5467441666667;8.10188833333333;2.53756433016381;50.7937316646997;2.53756433016381;3.18604194666141;53.975;71.125;53.975;49.4416666666667;1175.41666666667;862.341666666667;1175.41666666667;491;1462.5;964.166666666667;811.666666666667;;
79;42.6660139784946;59.8121333333333;42.6660139784946;54.6091935483871;9.77976559139785;6.20877204301075;9.77976559139785;7.31596129032258;2.49921862485402;63.1420108386205;2.49921862485402;3.07047674849481;60.0537634408602;85.0967741935484;60.0537634408602;55.7311827956989;862.301075268817;817.827956989247;862.301075268817;611.430107526882;1287.09677419355;1184.94623655914;586.021505376344;;
80;41.7447950980392;58.2599039215686;41.7447950980392;51.6816088235294;9.29812156862745;5.89552549019609;9.29812156862745;7.33045490196079;2.61537493747142;61.7325512598538;2.61537493747142;3.24157117704223;65.5980392156863;87.7745098039216;65.5980392156863;59.2254901960784;914.352941176471;853.078431372549;914.352941176471;582.764705882353;1391.17647058824;1083.33333333333;610.78431372549;;
81;41.718189010989;60.7134483516483;41.6137448717949;52.036143956044;9.51277692307692;6.18731538461539;9.15288974358975;6.68578241758242;2.53713513945466;64.6870745632995;2.54350935872898;3.10662211588563;63.032967032967;85.1428571428571;62.7051282051282;56.7252747252747;1425.9010989011;849.525641025641;1522.70512820513;526.549450549451;1385.71428571429;959.340659340659;917.582417582418;;
82;40.6727795454546;58.3319034090909;40.3206376623377;51.2122329545455;8.81401363636364;5.50287045454546;8.40306753246753;6.65666477272727;2.63100307842839;60.3367760922051;2.63672170065775;3.23996830391594;65.6931818181818;90.0795454545455;66.1688311688312;59.5568181818182;855.045454545455;907.441558441558;832.74025974026;572.602272727273;1405.68181818182;1057.95454545455;546.590909090909;;
83;39.1759465116279;57.3896930232558;38.7884753424658;49.9897709302326;8.47113255813953;4.99198255813954;8.23400958904109;7.07182325581395;2.6387620892139;74.7570124260688;2.64875810321063;3.30485496620435;67.7093023255814;98.8255813953488;68.8356164383562;60.7906976744186;870.03488372093;898.986301369863;901.835616438356;585.662790697674;1339.53488372093;1047.67441860465;532.558139534884;;
84;39.9398256410256;57.9795192307692;40.4168261538462;49.2036653846154;8.29935384615385;4.89769743589744;8.15096153846154;6.17308846153846;2.68904602399836;73.9501923866715;2.67262942103633;3.29367591146384;67.1282051282051;91.525641025641;67.2769230769231;62.8589743589744;745.179487179487;964.753846153846;729.307692307692;563.884615384615;1369.23076923077;1001.28205128205;458.974358974359;;
