n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm5;crossing resolution rm-1;Angular resolution fa;Angular resolution rm;Angular resolution tr;Angular resolution rm5;Angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm5;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm5;Crossing number rm-1;Total Resolution fa;Total Resolution rm;Total Resolution tr;Total Resolution rm5;Total Resolution rm-1;Time fa;Time rm;Time tr;Time rm5;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa
21;68.6715608695652;63.6271304347826;61.7550739130435;59.4395347826087;64.780052173913;23.8682826086957;41.5697956521739;20.1557130434783;180;35.6725608695652;2.05543657550166;13.0642868080261;2.08046239866955;4.53628241201899;2.01291251716106;7.30434782608696;9.47826086956522;8.26086956521739;9.65217391304348;7.47826086956522;23.1833913043478;41.5517695652174;19.0403652173913;35.3221260869565;35.6725608695652;75.2608695652174;627.478260869565;167.95652173913;200.130434782609;264.130434782609;1347.82608695652;1200;278.260869565217
22;62.6023823529412;60.8372235294118;57.9842529411765;54.6142941176471;57.8795823529412;22.5841117647059;42.5551823529412;17.7548117647059;180;32.8043588235294;2.06024599650837;27.8579928977398;2.18066852865418;4.39998224090834;1.92939837249266;7.17647058823529;8.76470588235294;6.88235294117647;8.05882352941176;8.35294117647059;21.7452705882353;42.5551823529412;16.8903588235294;34.7207470588235;32.8043588235294;53.8823529411765;525.647058823529;93.5882352941177;201.529411764706;252.294117647059;1100;1047.05882352941;194.117647058824
23;65.58495;60.3398642857143;54.2739428571429;49.7312642857143;60.9158642857143;22.9055714285714;41.8088714285714;16.7124714285714;180;29.9606357142857;2.24957657342027;19.5899330321051;2.21932725304891;4.44363279836614;2.02553454537751;7.07142857142857;8.42857142857143;7.71428571428571;10.0714285714286;7.07142857142857;21.8244214285714;41.7835142857143;15.8334357142857;35.3538214285714;29.9155142857143;278.571428571429;746.857142857143;27.2857142857143;252;235.285714285714;1757.14285714286;914.285714285714;864.285714285714
24;61.0614666666667;59.6597666666667;51.3464555555556;52.8820444444444;62.9993;22.2644333333333;37.9878;14.9155888888889;180;33.4368555555556;2.11850377064029;13.878408281422;2.02770923514612;4.26470272689281;2.0861173434816;8.11111111111111;10;8.88888888888889;8.88888888888889;7.66666666666667;21.8610444444444;37.9878;13.9832222222222;35.6359555555556;33.4368555555556;131.444444444444;633.888888888889;331.666666666667;237.888888888889;244.777777777778;1255.55555555556;844.444444444444;400
25;61.0473090909091;53.5507454545455;49.3850818181818;51.4273181818182;52.1669363636364;21.5890818181818;39.8202181818182;15.1661636363636;180;28.3007636363636;2.01921449848016;38.1265376512268;2.32619385913136;4.73974607596496;2.03901127272891;10;12.4545454545455;10.8181818181818;10.2727272727273;9.27272727272727;20.8108090909091;39.8202181818182;14.7722636363636;32.9928454545455;28.3007636363636;97.7272727272727;711.818181818182;51.2727272727273;211.363636363636;340.454545454545;1672.72727272727;1327.27272727273;290.909090909091
26;63.2502111111111;60.41805;54.4217611111111;56.8495555555556;59.5865555555556;24.6054388888889;42.5334166666667;17.3627166666667;180;31.2809611111111;2.16000793475751;16.7436253187076;2.0411486753208;4.73898922266527;2.11837330701732;8.44444444444444;10.0555555555556;9.66666666666667;9.22222222222222;8.11111111111111;23.3902444444444;42.1922277777778;16.5651722222222;34.3705666666667;31.2809611111111;121.777777777778;585.166666666667;58.1666666666667;191.444444444444;181.277777777778;1355.55555555556;738.888888888889;372.222222222222
27;73.0171176470588;65.0085117647059;60.3459235294118;61.3343352941177;65.7604941176471;27.7179705882353;46.7674705882353;21.7277294117647;180;38.9671764705882;1.9698975210297;20.5698592599773;1.90523328150093;4.62098440800154;2.00696257014818;5.70588235294118;8.47058823529412;6.94117647058824;7.70588235294118;5.82352941176471;26.2270058823529;46.7134470588235;20.7861588235294;39.9561529411765;38.9671764705882;157.588235294118;510.117647058824;118.823529411765;186.941176470588;228.352941176471;1158.82352941176;888.235294117647;447.058823529412
28;64.9445533333333;62.4122933333333;61.0918866666667;54.5538933333333;64.8567133333333;22.1941933333333;46.05446;19.5398466666667;180;33.8602333333333;2.07065655924097;19.3970124930114;1.95264245771053;4.42349917191746;2.03737757772339;8;8.2;8.26666666666667;10.9333333333333;8;21.4948333333333;46.03244;19.3743533333333;36.7556733333333;33.8602333333333;160.266666666667;584.6;240.8;205.333333333333;181.333333333333;1233.33333333333;693.333333333333;420
29;60.7633952380952;56.8219666666667;50.3412571428571;53.5246333333333;60.4148095238095;24.9908;43.1531285714286;18.768619047619;180;34.3730666666667;2.01648612126639;24.3555968416702;2.13876447795475;4.72982875316725;2.13104998545727;8.0952380952381;13.047619047619;9.23809523809524;9.38095238095238;8;23.2210619047619;43.0624666666667;16.5635523809524;33.9451619047619;33.5559333333333;144.285714285714;615.190476190476;120;252.809523809524;311.761904761905;1252.38095238095;1128.57142857143;357.142857142857
30;59.3378631578947;59.4561157894737;55.3145894736842;49.8884947368421;59.9137368421053;22.1436157894737;45.4257684210526;18.2018157894737;180;35.2070736842105;1.97377765616886;20.6967649081413;1.93599698785942;4.75746795261071;2.10095391357027;9.63157894736842;9.89473684210526;10.6842105263158;11.5789473684211;8.47368421052632;20.626247368421;45.2254368421053;15.9625;32.1426578947369;35.2070736842105;142.578947368421;657;229.78947368421;170.789473684211;335.052631578947;1236.84210526316;1078.94736842105;363.157894736842
