Nodes;Mixed OLD;Lin Yen ;Eades;Huang et al.;Crossing Only OLD;Angular Only OLD;Mixed;Crossing Only;Angular Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
35;6.43298969072165;6.75257731958763;5.9234693877551;5.71428571428571;10.1530612244898;6.70769230769231;10.2934782608696;17.2150537634409;10.6774193548387;17.4367487136679;34.6518024771088;0;6.79699628404147;17.4744156388802;3.88042307079724;6.39681423109013;16.6902924919597;3.89666402977944;Nodes;=35
36;8.28015564202335;8.45703125;7.52918287937743;7.21789883268483;14.1634241245136;8.36186770428016;10.6091954022989;19.6167664670659;10.7528735632184;21.3492858510243;40.9660523180902;0;6.58004232606623;17.3329158892846;4.17283123715216;5.97473111342593;16.5839265157248;4.63446428887292;Nodes;=36
37;9.66555183946488;9.80267558528428;8.79;8.49;20.65;9.91304347826087;12.7878787878788;28.7448979591837;13.040404040404;37.5893632593842;66.3342612185679;0;8.85405547266788;21.8944595130719;4.18634856773616;8.60309672726198;21.3909755151408;4.18478206061681;Nodes;=37
38;10.6185897435897;10.6346153846154;9.24600638977636;9.07987220447284;18.0798722044728;10.6495176848875;13.6186046511628;24.3380952380952;13.6355140186916;29.3307320611756;53.6688272992709;0;8.19984257648556;21.8353565951771;5.43567144220603;8.68430439684969;22.3029090480125;4.9343002543131;Nodes;=38
39;13.4791666666667;13.4970238095238;11.9556213017751;11.5922619047619;27.9792899408284;13.7916666666667;16.2674418604651;35.2244094488189;16.6240310077519;42.7416269525513;77.9660364013702;0;11.1708575497104;27.7948885574623;5.45317345804156;10.0573196370283;26.3247614974934;6.21012222343687;Nodes;=39
40;13.8285714285714;13.978417266187;12.3535714285714;11.9749103942652;29.4821428571429;14.0857142857143;15.9691629955947;34.9159292035398;16.2555066079295;40.6527518628399;75.5686810663797;0;9.48570900330123;25.7412156112307;6.76979760462828;8.62339753662249;24.5925605322172;7.34576545897222;Nodes;=40
41;14.8864628820961;15.030701754386;13.0565217391304;12.6943231441048;30.6521739130435;14.9257641921397;16.8888888888889;36.427027027027;16.968253968254;40.8565401651384;77.2835671921655;0;8.78762715891459;25.7558811271686;8.18062680933938;9.42746435719152;26.3163532460804;7.46142453169737;Nodes;=41
42;17.0045045045045;17.1801801801802;15.2207207207207;14.8693693693694;35.3738738738739;16.9457013574661;19.0578947368421;40.6808510638298;18.994708994709;48.6017787060254;89.2826297698552;0;11.2531307012653;30.2478396959743;7.74157829344372;12.1295461818112;31.1874409186533;6.92834855503092;Nodes;=42
43;17.8405172413793;18.176724137931;16.4655172413793;15.8225108225108;36.9698275862069;18.3275862068966;19.5728155339806;41.4679802955665;20.0679611650485;53.4412114250217;94.9091917205882;0;13.9837969901561;34.0517581552047;6.08416417489244;13.1151902163112;32.6880057502918;6.45762531766941;Nodes;=43
44;17.7474747474747;18.3604060913706;15.9646464646465;15.280612244898;37.2727272727273;18.1616161616162;19.9585798816568;42.9761904761905;20.3905325443787;48.6609868917685;91.637177367959;0;12.6091012226598;32.9996337670385;7.78143132171894;12.4246866730314;32.3832665546882;7.5338932086254;Nodes;=44
