Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo10354.99.gml;99;150;8;0.05;13.85;5720;5238.36;638;39813;13.85;2996.5675374323;1;1
grafo10366.99.gml;99;134;7;0.01;2.51;0;171.52;235;35400;2.51;3.16526752301001;1;1
grafo10381.99.gml;99;128;7;0.15;34.92;2485;166.65;93;12047;34.92;1.99570084360805;1;1
grafo10383.99.gml;99;136;7;0.14;38.6;2033;176.8;141;10316;38.6;2.75900492355533;1;1
grafo10384.99.gml;99;124;6;0.85;57.95;5418;160.25;65;24017;57.95;1.54419889502762;1;1
grafo10386.99.gml;99;132;10;0;41.98;4307;163.1;111;20964;41.98;2.10753840657378;1;1
grafo10421.99.gml;99;139;9;0.19;24.69;2050;175.54;154;11096;24.69;4.38216403162055;1;1
grafo10432.99.gml;99;146;9;0.03;8.5;2724;16960.21;373;17797;8.5;4524.85570907195;1;1
grafo10447.99.gml;99;129;8;0.82;39.25;1857;183.22;108;8723;39.25;2.47646122356152;1;1
grafo10468.99.gml;99;129;8;0.06;16.38;2905;139614.46;109;13329;16.38;33018.3868559314;1;1
grafo10484.99.gml;99;147;10;0.01;22.72;1493;186.77;269;9504;22.72;5.41460735859418;1;1
grafo10490.99.gml;99;134;8;0.03;15.37;1914;2114.39;192;10091;15.37;409.871546203111;1;1
grafo10498.99.gml;99;129;8;0.12;21.19;0;183.55;290;36206;21.19;3.64425142430186;1;1
grafo10520.99.gml;99;131;8;0.94;28.89;650;205.34;83;3177;28.89;2.94240215496752;1;1
grafo10522.99.gml;99;136;7;3.11;35.46;2665;169.67;155;13714;35.46;3.04392635581349;1;1
grafo10532.99.gml;99;135;8;0;29.99;666;202.57;96;3544;29.99;2.56132361870067;1;1
grafo10536.99.gml;99;142;8;2.86;29.9;2054;175.17;190;11288;29.9;2.992708535874;1;1
grafo10549.99.gml;99;140;9;0.03;17.21;1096;4993.48;180;5916;17.21;1443.85819070905;1;1
grafo10575.99.gml;99;137;8;0.01;29.96;2594;168.08;155;14580;29.96;2.3849795175239;1;1
grafo10591.99.gml;99;119;7;2.3;34.85;1242;197.23;31;5110;34.85;2.39097285757853;1;1
grafo10596.99.gml;99;140;6;0.12;27.26;648;199.14;123;3575;27.26;2.34666666666667;1;1
grafo10598.99.gml;99;130;7;1.26;34.19;5566;173.63;153;27023;34.19;3.07532647236876;1;1
grafo10605.99.gml;99;127;7;0.63;33.56;1637;182.26;88;8011;33.56;2.49038734728667;1;1
grafo10641.99.gml;99;131;6;0.26;20.13;0;188.99;364;35555;20.13;4.20791200993436;1;1
grafo10663.99.gml;99;137;9;0.38;36.12;1577;181.19;149;8287;36.12;3.75028376844495;1;1
grafo10668.99.gml;99;128;8;0.01;19.99;2571;8565.77;187;12109;19.99;1531.24446430345;1;1
grafo10674.99.gml;99;145;8;0.09;31.37;429;209.17;129;2430;31.37;3.38763376932224;1;1
grafo10696.99.gml;99;138;8;1.57;30.43;434;211.08;119;2376;30.43;3.00262969160889;1;1
grafo10701.99.gml;99;120;6;2.16;40.1;4867;166.71;48;23327;40.1;1.96948640483384;1;1
grafo10714.99.gml;99;137;8;0.07;38.65;1463;177.67;132;7492;38.65;2.21271695319569;1;1
grafo10725.99.gml;99;129;9;0.59;46.13;2625;166.1;81;12539;46.13;2.00577164366374;1;1
grafo10726.99.gml;99;140;8;1.03;19.68;318;216.78;103;1704;19.68;3.23153726975383;1;1
grafo10735.99.gml;99;136;8;0.1;5.52;0;760.44;584;43253;5.52;516.614427194861;1;1
grafo10736.99.gml;99;137;9;0.02;10.4;3780;126297.53;255;20363;10.4;28488.7934520944;1;1
grafo10737.99.gml;99;142;8;0;7.38;0;13133.69;578;43584;7.38;7181.60450097847;1;1
grafo10742.99.gml;99;130;6;3.05;41.03;602;207.01;67;3130;41.03;3.15388007054674;1;1
grafo10762.99.gml;99;133;8;0.35;22.75;2412;1149.38;223;11945;22.75;325.829784630445;1;1
grafo10780.99.gml;99;149;9;1.01;24.77;2011;181.7;295;12434;24.77;4.23853652665784;1;1
grafo10803.99.gml;99;132;8;3.31;36.26;418;214.31;81;2143;36.26;3.3434554164735;1;1
grafo10809.99.gml;99;131;6;0.08;17.97;0;20321.27;254;36278;17.97;5601.49778733089;1;1
grafo10827.99.gml;99;135;8;0.63;31.14;2321;182.02;135;12066;31.14;3.43906399235912;1;1
grafo10854.99.gml;99;135;8;0.2;32.1;2278;171.47;128;11544;32.1;2.35767757660167;1;1
grafo10864.99.gml;99;140;8;1.06;31.91;1659;176.11;155;8889;31.91;2.85136397608371;1;1
grafo10907.99.gml;99;137;8;0.08;19.1;4766;5552.39;291;28360;19.1;1355.91139385603;1;1
grafo10926.99.gml;99;139;7;0.72;39.78;1287;183.23;113;6640;39.78;2.99818812037183;1;1
grafo10965.99.gml;99;130;9;2.85;44.9;1443;181.99;65;6776;44.9;2.68903863432165;1;1
grafo10968.99.gml;99;128;8;2.7;44.82;6508;158.97;71;30883;44.82;1.71032268686203;1;1
grafo11000.99.gml;99;145;9;0;13.78;5786;4974.8;571;36120;13.78;4255.83658298806;1;1
grafo11008.99.gml;99;151;8;0.04;7.66;4005;15629.41;525;26956;7.66;5290.21836303232;1;1
grafo11018.99.gml;99;130;8;0.37;29.34;2804;174.15;182;13971;29.34;2.61142691974179;1;1
grafo11035.99.gml;99;139;8;0.45;22.31;1274;188.41;166;7270;22.31;3.84853101196953;1;1
grafo11037.99.gml;99;144;7;0.49;13.14;0;1221.6;604;45994;13.14;423.670690433213;1;1
grafo11060.99.gml;99;135;7;0.01;30.24;3323;168.61;181;17154;30.24;3.3826960137945;1;1
grafo11062.99.gml;99;124;8;0.07;52.48;3388;163.79;78;15498;52.48;1.51771758100008;1;1
grafo11099.99.gml;99;151;8;0;0;3323;289625.8;442;21455;;96097.7042079208;1;1
grafo11106.99.gml;99;136;8;0;29.69;3736;534.53;268;19941;29.69;119.908649885584;1;1
grafo11110.99.gml;99;135;10;0;29.82;2383;182.73;230;12621;29.82;5.94812362030905;1;1
grafo11118.99.gml;99;125;7;0.01;19.65;4293;6259.39;98;19181;19.65;1674.50637177462;1;1
grafo11142.99.gml;99;144;8;0.72;32.84;1515;181.76;140;8270;32.84;2.43142268041237;1;1
grafo11145.99.gml;99;140;10;0.46;29.29;962;189.37;117;5181;29.29;3.05442236680148;1;1
grafo11148.99.gml;99;138;8;0.46;22.06;2150;171.27;165;11833;22.06;2.75754470938897;1;1
grafo11150.99.gml;99;133;7;0.46;28.56;380;215.56;100;1916;28.56;3.33063485300383;1;1
grafo11153.99.gml;99;130;7;0.14;54.17;5742;157.33;67;26226;54.17;1.72770700636943;1;1
grafo11155.99.gml;99;125;6;0.94;51.76;1528;186.1;76;7043;51.76;2.18873031496063;1;1
grafo11161.99.gml;99;120;6;0;33.58;4139;172.13;86;17596;33.58;2.92502387774594;1;1
grafo11169.99.gml;99;128;6;1.71;34.93;1663;179.85;70;7656;34.93;2.58693142461325;1;1
grafo11179.99.gml;99;123;8;1.04;49.16;562;213.3;54;2545;49.16;2.73750439367311;1;1
grafo11182.99.gml;99;129;7;0.03;26.77;948;4333.94;108;4508;26.77;1290.39440659735;1;1
grafo11188.99.gml;99;134;8;0.28;33.63;5752;165.29;183;30720;33.63;2.5003465003465;1;1
grafo11201.99.gml;99;136;8;0.39;39.39;1387;180.22;105;7117;39.39;3.5094141259677;1;1
grafo11204.99.gml;99;143;8;0.27;7.94;0;216.2;597;48001;7.94;16.5605072893209;1;1
grafo11218.99.gml;99;147;8;0.03;14.42;3130;11273.89;332;19542;14.42;2583.33648346183;1;1
grafo11223.99.gml;99;151;8;0.03;10.95;0;3305.15;719;51962;10.95;1812.79590243902;1;1
grafo11248.99.gml;99;132;7;0.08;50.26;1954;177.35;58;9116;50.26;2.30843189622282;1;1
grafo11250.99.gml;99;143;8;0.14;13.1;5093;9480.87;401;30594;13.1;3427.98889005345;1;1
