graph name;iterations;time[ms];crossing_res;n;m;ang,res;aspect, Ratio;#crossing;
graph_1315.txt;200;72;65,2707;34;51;29,35889790333808;1,8009226442537662;15;
graph_1316.txt;200;56;52,595;26;39;25,619562717078715;1,8426985802701175;15;
graph_1317.txt;100;21;64,1557;20;30;24,30955793432859;1,9498502065561023;7;
graph_1318.txt;100;37;59,4096;34;51;28,096298569796385;2,6059155696340346;19;
graph_132.txt;200;95;59,1811;36;54;13,887252328574826;1,873351055707402;18;
graph_1320.txt;500;239;53,0067;38;57;22,48450351736363;2,169239167197807;17;
graph_1321.txt;0;0;49,709;28;42;9,87882969750361;2,1035572480169877;16;
graph_1323.txt;400;76;77,2199;20;30;31,56909416478649;2,0741768661250535;6;
graph_1324.txt;100;48;48,2797;38;57;12,447523032707199;1,9010342405972498;21;
graph_1325.txt;100;38;63,6711;34;51;5,500593600756071;2,449779844623032;15;
graph_1327.txt;300;100;65,2674;32;48;26,427227448081478;2,2253052827198094;12;
graph_1328.txt;100;42;59,7647;34;51;7,184287515813349;2,1660935653792306;22;
graph_1329.txt;300;77;74,3398;20;30;33,46975817672001;2,0212534160796722;6;
graph_133.txt;300;117;66,5381;34;51;30,21872002660086;1,9273650621925424;17;
graph_1330.txt;100;37;67,3034;34;51;13,348727113287385;2,3518944587558313;10;
graph_1331.txt;100;37;38,4601;30;45;24,529365402143625;2,2313598354264768;41;
graph_1333.txt;100;30;71,7757;30;45;39,14103529762611;1,9629740616307616;7;
graph_1334.txt;100;41;58,4505;34;51;15,380690393119565;2,0209328970857836;14;
graph_1335.txt;100;40;61,2458;34;51;13,849164430818874;2,318467206318227;16;
graph_1336.txt;600;243;67,5247;32;48;25,7817193006068;2,4562863971043782;10;
graph_1338.txt;200;82;66,7264;30;45;39,3146955674257;1,7079530868660966;8;
graph_1339.txt;300;102;58,0012;32;48;16,703424528238873;1,7355049644950173;23;
graph_134.txt;100;30;69,5143;30;45;31,756269641502556;2,5396077433736557;8;
graph_1340.txt;200;72;68,6231;34;51;31,218145661471528;2,0522471819352335;12;
graph_1342.txt;100;28;72,5574;28;42;32,17829725572429;2,8938036379591794;5;
graph_1343.txt;600;123;74,2091;20;30;36,290280065630974;2,2975127299358338;4;
graph_1344.txt;200;74;74,3029;34;51;27,64545143577748;2,168925358942899;13;
graph_1345.txt;100;21;69,4781;24;36;35,57949187773225;2,6470141000318828;3;
graph_1346.txt;100;25;64,2061;26;39;34,40460990625765;1,536110418727805;13;
graph_1347.txt;200;86;58,6384;32;48;19,85083681301206;2,333987076289006;18;
graph_1348.txt;100;42;57,4852;36;54;23,049234457282243;2,1349963703730683;16;
